683325.087968,3111334.96016
683325.069294,3111334.93163
683325.050505,3111334.90303
683325.03166,3111334.87418
683325.012766,3111334.84539
683324.993791,3111334.81651
683324.974726,3111334.78757
683324.955617,3111334.75834
683324.936457,3111334.72916
683324.917209,3111334.69994
683324.897887,3111334.67064
683324.878511,3111334.64101
683324.859113,3111334.61148
683324.839628,3111334.58188
683324.820133,3111334.55217
683324.800478,3111334.52226
683324.780828,3111334.49239
683324.76111,3111334.46243
683324.741365,3111334.43238
683324.721437,3111334.40211
683324.701557,3111334.37184
683324.681602,3111334.34153
683324.661549,3111334.31118
683324.641418,3111334.28053
683324.621267,3111334.24995
683324.601014,3111334.2193
683324.58072,3111334.18856
683324.560381,3111334.1576
683324.539958,3111334.12668
683324.519509,3111334.09567
683324.498999,3111334.06462
683324.478361,3111334.03334
683324.457738,3111334.00212
683324.437052,3111333.97079
683324.416287,3111333.93939
683324.395456,3111333.90776
683324.374599,3111333.87621
683324.353674,3111333.84457
683324.332671,3111333.81287
683324.311601,3111333.7809
683324.29053,3111333.74862
683324.269412,3111333.7164
683324.24823,3111333.68411
683324.226981,3111333.65153
683324.205707,3111333.61907
683324.184379,3111333.58657
683324.162966,3111333.55396
683324.141475,3111333.52104
683324.119966,3111333.48827
683324.09839,3111333.45542
683324.076836,3111333.42247
683324.055174,3111333.38928
683324.033445,3111333.35619
683324.011715,3111333.32302
683323.989953,3111333.28974
683323.968061,3111333.25621
683323.946165,3111333.22282
683323.924246,3111333.18931
683323.90229,3111333.15573
683323.880263,3111333.12191
683323.85819,3111333.08814
683323.836094,3111333.05434
683323.813937,3111333.02049
683323.791668,3111332.98636
683323.769404,3111332.95236
683323.747089,3111332.91829
683323.724759,3111332.88411
683323.702292,3111332.84972
683323.679812,3111332.81544
683323.657284,3111332.78109
683323.634709,3111332.74669
683323.61197,3111332.71198
683323.589258,3111332.67742
683323.566512,3111332.64281
683323.543719,3111332.60794
683323.520851,3111332.57319
683323.497939,3111332.53839
683323.474989,3111332.5035
683323.451991,3111332.46855
683323.428956,3111332.43328
683323.40589,3111332.39821
683323.382752,3111332.36308
683323.359548,3111332.32785
683323.336388,3111332.29231
683323.313117,3111332.25695
683323.28983,3111332.2215
683323.266578,3111332.18594
683323.243197,3111332.15017
683323.21979,3111332.11453
683323.196385,3111332.07884
683323.172933,3111332.04305
683323.149347,3111332.00701
683323.125723,3111331.97111
683323.102091,3111331.93514
683323.078415,3111331.89911
683323.054648,3111331.86282
683323.030865,3111331.82668
683323.00702,3111331.7905
683322.983097,3111331.75407
683322.959189,3111331.71776
683322.935245,3111331.68137
683322.911233,3111331.64493
683322.887185,3111331.60846
683322.863055,3111331.5717
683322.838914,3111331.5351
683322.814729,3111331.49844
683322.790515,3111331.46171
683322.766279,3111331.42473
683322.74199,3111331.38789
683322.717657,3111331.35102
683322.693282,3111331.31407
683322.668824,3111331.2769
683322.644346,3111331.23983
683322.61986,3111331.20267
683322.595343,3111331.16552
683322.570739,3111331.12809
683322.546123,3111331.0908
683322.521462,3111331.05348
683322.496785,3111331.01612
683322.472035,3111330.9785
683322.44724,3111330.94099
683322.422445,3111330.90341
683322.397606,3111330.86582
683322.372679,3111330.82796
683322.347765,3111330.79025
683322.322774,3111330.75249
683322.297747,3111330.71468
683322.272695,3111330.67663
683322.247592,3111330.63869
683322.222493,3111330.60072
683322.197361,3111330.56272
683322.172134,3111330.52446
683322.146896,3111330.48633
683322.121609,3111330.44818
683322.096265,3111330.40996
683322.070931,3111330.37148
683322.045547,3111330.33316
683322.020137,3111330.29478
683321.994751,3111330.25635
683321.969229,3111330.21774
683321.943685,3111330.17929
683321.918152,3111330.1408
683321.892601,3111330.10224
683321.866986,3111330.06357
683321.841338,3111330.02495
683321.815674,3111329.98627
683321.79,3111329.94753
683321.764279,3111329.90864
683321.738553,3111329.86977
683321.712798,3111329.83091
683321.686994,3111329.79199
683321.661135,3111329.75292
683321.635282,3111329.71391
683321.60937,3111329.67481
683321.583501,3111329.63564
683321.557507,3111329.59643
683321.531493,3111329.55722
683321.505508,3111329.51795
683321.479446,3111329.47866
683321.45333,3111329.43928
683321.427219,3111329.39991
683321.401063,3111329.36049
683321.374863,3111329.32101
683321.348604,3111329.28147
683321.322311,3111329.24196
683321.29599,3111329.20241
683321.269666,3111329.16278
683321.243304,3111329.12305
683321.216901,3111329.08337
683321.190443,3111329.04366
683321.163972,3111329.00393
683321.137476,3111328.96407
683321.110923,3111328.92422
683321.084352,3111328.88428
683321.05778,3111328.8443
683321.031178,3111328.80435
683321.004554,3111328.76435
683320.977921,3111328.72433
683320.951223,3111328.68422
683320.92451,3111328.64405
683320.897776,3111328.60387
683320.871002,3111328.56366
683320.844223,3111328.52339
683320.817389,3111328.48306
683320.79054,3111328.44271
683320.763683,3111328.40234
683320.736787,3111328.36195
683320.70981,3111328.32145
683320.682847,3111328.28098
683320.655871,3111328.24043
683320.628853,3111328.19984
683320.601776,3111328.15916
683320.574671,3111328.11851
683320.547571,3111328.07781
683320.520494,3111328.03705
683320.493322,3111327.99618
683320.466149,3111327.95536
683320.438953,3111327.9145
683320.41172,3111327.8735
683320.384453,3111327.83255
683320.357146,3111327.79152
683320.329844,3111327.75048
683320.3025,3111327.7094
683320.275082,3111327.66819
683320.247675,3111327.62697
683320.220232,3111327.58575
683320.192722,3111327.54452
683320.165208,3111327.50314
683320.137633,3111327.46181
683320.110041,3111327.42039
683320.082432,3111327.37891
683320.054741,3111327.3374
683320.027025,3111327.29589
683319.999302,3111327.25431
683319.971582,3111327.21267
